100aC;100aS;100eC;100eS;100dC;100dS;120C;120S;130C;130S;150aC;150aS;150bC;150bS;150cC;150cS;200aC;200aS;200bC;200bS;202C;202S;535aC;535aS;1000C;1000S;1323C;1323S;1400C;1400S;1748C;1748S;1889C;1889S;2392C;2392S;3038C;3038S;3795C;3795S;5934C;5934S;7397C;7397S
21382;21727;22849;22926;21840;21616;16611;16884;62093;65316;66246;67760;27169;27159;27411;27205;29523;30528;30205;30796;42062;42663;240472;247545;20014150,98;20107112,87;281539,7075;292972,8317;30344,56986;29583,23527;36330;36166;344713,4332;344507,3465;403256,2781;419701,6785;146161,6271;148547,2885;56481;57984;62238;60040;43925;28207
22305;21571;24564;22578;22172;21837;16545;16437;64680;64495;69293;68279;27001;27280;26703;27099;30789;30775;30081;30872;41777;46837;232386;220034;19977121,79;19905275,48;289663,2537;285559,5715;34044,20643;30410,36438;36144;36197;355999,2742;349647,7918;400343,1607;417969,1679;146674,0597;149437,2644;51259;58772;62250;61010;42917;29808
21793;21817;23126;22798;22350;22251;16573;17085;62330;62952;67296;66473;27219;27820;27336;26893;30604;30334;30983;31274;41753;42496;232314;231926;20737051,96;19597489,55;288733,764;287676,2873;38525,7036;29090,32498;35639;34840;344151,0072;340121,2758;400848,0273;436061,8995;145897,5406;147625,2125;56830;53541;62833;61354;41032;29715
22073;22871;22140;23515;22123;22564;16508;16607;62729;62163;68561;66819;28173;27288;26528;26334;30094;30073;31218;29981;42599;41705;219842;213829;19781608,16;20117310,46;291878,2025;287905,6507;34080,02914;30626,84506;36498;35924;344956,1773;333468,4833;399296,5451;436076,5417;145324,018;148329,0508;55814;53270;62779;61175;39941;28173
22567;21456;22429;22290;22467;22291;16778;16731;62849;62192;69463;69008;27679;27780;26390;26569;31238;30667;30910;30433;41660;42315;227248;230114;20254905,99;20622418,13;291244,8967;293798,394;32869,83033;31125,83631;36759;36318;339400,6176;343356,2204;401932,5788;439645,5425;146515,5613;145343,9168;59298;50335;61130;61915;45558;28916
23295;21824;23405;23031;21897;22579;17469;16788;64383;62617;67793;68694;27069;28066;26467;26512;30072;30074;30813;29728;41919;48127;224489;229197;20507108,56;19839024,05;285549,1057;282859,5225;29677,83116;28687,78787;35542;35277;343003,084;339251,0696;399922,3364;441143,538;145165,4096;148186,6267;47401;59179;62453;59937;41052;27763
21514;23662;22512;22542;22419;21708;16778;16985;61985;62545;68070;66281;27218;27261;26741;27088;30602;30638;30476;29962;41507;43043;227842;234953;20601460,31;20234816,22;285509,3163;289266,2259;34470,74643;29742,14219;36766;35041;339017,6332;350718,5079;403461,4091;444761,6238;144566,5716;149873,3814;50953;49478;64337;60763;39031;29616
21580;21697;22412;22433;21821;21739;16710;17429;62309;61800;68436;68573;26999;28125;26510;26899;31173;29768;30650;31121;41606;43345;227765;221936;19642485,8;20824162,5;284705,1968;288920,8401;30568,14697;25615,81619;36823;35702;337211,3526;348823,5426;399850,6714;426472,7243;145944,0969;146044,4011;56563;52735;61627;60845;42382;28110
21673;22035;22800;22523;22153;22168;16934;17412;63166;64036;67450;70927;27743;27528;27266;26569;30073;30671;30526;30592;43605;45839;231020;216420;19870036,85;20493702,53;288391,9636;289207,6415;35913,18947;35105,75581;35830;35583;336118,5254;342373,4947;402780,0233;423966,6945;145058,9772;149920,2096;57531;49956;62307;60825;39572;31080
21787;22645;22967;23029;22027;22104;16559;16839;62557;64451;68961;68091;27897;27504;26955;26992;30277;30549;31134;30231;42417;41343;219391;232174;19615555,37;20003583,96;280592,6569;292587,3762;29481,48647;34157,03562;35359;35878;353411,617;355195,8223;399184,1238;418987,7095;145470,5964;148132,0701;59008;50026;63846;62453;41799;29085
22844;21648;22906;22295;21679;21546;16631;16265;63433;62492;66528;67131;27781;28873;26731;26966;30850;30416;30382;30712;43870;42040;224505;232116;19800412,5;19466668,07;286641,6154;299614,0636;37446,16015;35644,68589;35447;35750;337130,1186;338393,3151;401243,9069;437991,0613;145134,4774;150964,4264;54826;52279;62338;61556;41747;27971
21866;21613;22542;22660;22414;21571;16983;16676;62954;62564;68706;67706;27463;26749;26566;26933;29990;30619;30929;30504;40774;42050;239001;218288;19762755,38;20237902,14;283566,8051;292634,749;32317,30953;30435,75611;36406;35210;351517,8996;343537,5532;406255,242;410406,3397;145485,8181;147984,8544;51338;52685;62732;62717;44417;29018
21813;22131;22829;22416;21989;22143;16999;17119;63379;63087;65913;70019;28789;27960;27378;26997;30574;30451;30147;29838;41270;46716;240388;224126;20161732,59;20166281,28;287055,7031;290651,8945;35253,72024;27413,22381;36211;35508;339823,6838;343845,7479;397733,8392;429984,5109;146271,9133;146488,1303;57072;48131;62407;62860;38977;29231
21724;22444;22777;23111;21310;22171;17009;16967;62468;65435;68762;69051;27339;28089;26277;27095;30998;30566;30212;31186;41820;42835;237077;218035;19758108,15;20460363,48;292173,0788;286152,9322;28135,53986;26760,40971;35113;35652;337945,431;341993,6783;404215,1735;419789,0502;147629,0997;148623,7815;46610;54494;62126;61767;43559;29256
