BCSMASS_Ponto_1;BCSMASS_Ponto_2;BCSMASS_Ponto_3;BCSMASS_Ponto_4;BCSMASS_Ponto_5;BCSMASS_Ponto_6;BCSMASS_Ponto_7;BCSMASS_Ponto_8;BCSMASS_Ponto_9;BCSMASS_Ponto_10;BCSMASS_Ponto_11;BCSMASS_Ponto_12;BCSMASS_Ponto_13;BCSMASS_Ponto_14;BCSMASS_Ponto_15;DUSMASS25_Ponto_1;DUSMASS25_Ponto_2;DUSMASS25_Ponto_3;DUSMASS25_Ponto_4;DUSMASS25_Ponto_5;DUSMASS25_Ponto_6;DUSMASS25_Ponto_7;DUSMASS25_Ponto_8;DUSMASS25_Ponto_9;DUSMASS25_Ponto_10;DUSMASS25_Ponto_11;DUSMASS25_Ponto_12;DUSMASS25_Ponto_13;DUSMASS25_Ponto_14;DUSMASS25_Ponto_15
0,5128865;0,5128865;0,48443237;0,48443237;0,37887058;0,3266664;0,2063808;0,36605126;0,41740164;0,31301734;0,31301734;0,31301734;0,36605126;0,29395643;0,22726084;1,561174;1,561174;1,4389637;1,4389637;1,0961547;1,1359472;1,0352827;0,8726744;0,9199814;0,9808102;0,9808102;0,9808102;0,8726744;1,0195707;0,99197197
0,2167636;0,2167636;0,20442083;0,20442083;0,19245331;0,17346723;0,124050215;0,21259287;0,23694874;0,18906048;0,18906048;0,18906048;0,21259287;0,1690618;0,13770224;1,3009461;1,3009461;1,1430743;1,1430743;0,8835615;0,9707293;1,0066122;0,88699925;0,695839;0,94007224;0,94007224;0,94007224;0,88699925;0,9952127;1,0207374
0,22291009;0,22291009;0,20282286;0,20282286;0,18394122;0,16767567;0,12184018;0,2078321;0,22530454;0,16291894;0,16291894;0,16291894;0,2078321;0,14418352;0,12181503;1,7869548;1,7869548;1,5684248;1,5684248;1,1543726;1,1451789;0,86524653;0,68589246;0,50644326;0,57065034;0,57065034;0,57065034;0,68589246;0,6220731;0,6688532
0,3083848;0,3083848;0,24670658;0,24670658;0,2087358;0,21963191;0,15818724;0,27095735;0,2869276;0,23270689;0,23270689;0,23270689;0,27095735;0,2037358;0,16469246;0,82614434;0,82614434;0,6479064;0,6479064;0,46108007;0,56695175;0,7178268;0,50631714;0,42361906;0,61402357;0,61402357;0,61402357;0,50631714;0,6334717;0,6401467
0,5322748;0,5322748;0,46539363;0,46539363;0,31797507;0,3084978;0,26068485;0,3330498;0,34499285;0,27955708;0,27955708;0,27955708;0,3330498;0,2553676;0,22322725;1,5958058;1,5958058;1,4173195;1,4173195;1,1385926;1,0357472;1,011407;0,95196706;0,81947833;0,9885863;0,9885863;0,9885863;0,95196706;1,0249069;0,9870863
0,24473168;0,24473168;0,22501063;0,22501063;0,20361474;0,19421221;0,14805359;0,2945269;0,32449937;0,30017555;0,30017555;0,30017555;0,2945269;0,26125756;0,20010178;2,0573967;2,0573967;1,8522066;1,8522066;1,4626863;1,4173862;1,4276466;1,2477543;1,0976206;1,3512189;1,3512189;1,3512189;1,2477543;1,403056;1,4715086
0,26275125;0,26275125;0,23618113;0,23618113;0,20528425;0,21281508;0,14250813;0,302341;0,32038113;0,25502756;0,25502756;0,25502756;0,302341;0,22382587;0,16782604;2,2529566;2,2529566;2,0836523;2,0836523;1,3991274;1,4101279;1,3465805;1,0771117;1,0290684;1,1452155;1,1452155;1,1452155;1,0771117;1,1975682;1,2147303
0,29104677;0,29104677;0,26625165;0,26625165;0,24081361;0,22199239;0,17696612;0,34411064;0,3604268;0,3480795;0,3480795;0,3480795;0,34411064;0,33131233;0,24590477;2,179658;2,179658;2,1098323;2,1098323;1,5522459;1,5595506;1,3856543;1,3452863;1,102669;1,4192547;1,4192547;1,4192547;1,3452863;1,5008225;1,4689455
0,34369326;0,34369326;0,30291757;0,30291757;0,24731125;0,2397288;0,20511378;0,37293285;0,3845541;0,3719068;0,3719068;0,3719068;0,37293285;0,3468252;0,26835775;2,4044921;2,4044921;2,1250012;2,1250012;1,5666116;2,0254762;1,3406264;1,3613218;1,2970098;1,4722854;1,4722854;1,4722854;1,3613218;1,4545225;1,3569319
0,33048618;0,33048618;0,31061593;0,31061593;0,3245427;0,2973689;0,26204544;0,49904957;0,47846437;0,55408055;0,55408055;0,55408055;0,49904957;0,5083818;0,39928064;0,7827378;0,7827378;0,7733317;0,7733317;0,6451542;0,61917907;0,6262047;0,53451335;0,619402;0,589187;0,589187;0,589187;0,53451335;0,6027096;0,6144336
0,34029198;0,34029198;0,3209355;0,3209355;0,30902648;0,25265682;0,23576726;0,36237314;0,38957325;0,34040138;0,34040138;0,34040138;0,36237314;0,31287163;0,249843;1,6930482;1,6930482;1,6769841;1,6769841;1,2074802;1,0718474;0,96597755;0,86214626;0,9618247;1,1316135;1,1316135;1,1316135;0,86214626;1,0218703;0,89493734
0,62971866;0,62971866;0,6771324;0,6771324;0,5261069;0,57468617;0,38516104;0,48888537;0,60577947;0,4925194;0,4925194;0,4925194;0,48888537;0,4738358;0,39284104;2,2271376;2,2271376;2,2075367;2,2075367;1,6638149;1,844127;1,3017085;1,205968;1,2178247;1,1805168;1,1805168;1,1805168;1,205968;1,2294729;1,1297008
0,35859624;0,35859624;0,32911158;0,32911158;0,28048062;0,29348156;0,20295815;0,3459711;0,40845668;0,3536271;0,3536271;0,3536271;0,3459711;0,3221251;0,25665894;1,878925;1,878925;1,6776918;1,6776918;1,1581423;1,2120669;1,0800271;0,8964206;0,6991768;0,8525348;0,8525348;0,8525348;0,8964206;0,97131693;1,0033294
0,25492594;0,25492594;0,23542696;0,23542696;0,20413524;0,17746918;0,1140876;0,21808107;0,23661956;0,18718843;0,18718843;0,18718843;0,21808107;0,16679272;0,120193064;0,96831834;0,96831834;0,84819067;0,84819067;0,690123;0,74805254;0,85865545;0,68114257;0,5926644;0,76213115;0,76213115;0,76213115;0,68114257;0,7970596;0,84553283
0,25326788;0,25326788;0,22868751;0,22868751;0,19769;0,17941965;0,14168777;0,2425443;0,29047674;0,20557821;0,20557821;0,20557821;0,2425443;0,17693591;0,14452896;1,232316;1,232316;1,1161084;1,1161084;0,8984943;0,8625842;0,99744844;0,76496696;0,6765348;0,76312786;0,76312786;0,76312786;0,76496696;0,81707394;0,86574244
